Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,FullName
Male,45,Some Travel,Sales,Far,Illinois,White,Bachelor's,Marketing ,Sales Representative,Married,47326,1,No,2/29/2012,No,10,10,10,10,Roderic Daddow
Female,41,Some Travel,Sales,Far,California,White,Below High School,Marketing ,Sales Representative,Married,48147,1,No,3/1/2012,No,10,8,10,5,Jessa Glasscoo
Male,42,Some Travel,Human Resources,Very Close,Illinois,Black or African American,Some College,Human Resources,HR Manager,Married,463051,1,No,3/1/2012,No,10,0,10,7,Angel Hazeup
Female,36,Some Travel,Technology,Very Far,California,Asian or Asian American,Some College,Computer Science,Senior Software Engineer,Married,111294,1,No,3/2/2012,No,10,8,8,10,Leona McKnish
Non-Binary,35,No Travel ,Technology,Far,California,Asian or Asian American,Some College,Computer Science,Analytics Manager,Single,542695,0,No,3/2/2012,No,10,5,5,1,Leonidas Clarke-Williams
Female,45,Some Travel,Technology,Very Close,Illinois,White,Below High School,Information Systems,Data Scientist,Divorced,64795,3,Yes,3/3/2012,No,10,5,8,10,Quintilla Wyllt
Female,35,Some Travel,Technology,Very Far,California,White,Bachelor's,Computer Science,Software Engineer,Married,59086,1,Yes,3/4/2012,No,10,2,8,4,Erica Dracksford
Male,41,Some Travel,Sales,Far,New York,White,Some College,Economics,Sales Executive,Married,116966,2,No,3/4/2012,No,10,4,10,7,Buck Klawi
Non-Binary,39,Frequent Traveller,Technology,Close,California,Asian or Asian American,Bachelor's,Information Systems,Software Engineer,Single,137427,0,Yes,3/4/2012,No,10,9,10,8,Thekla Flintuff
Female,48,Some Travel,Technology,Far,California,White,Below High School,Computer Science,Data Scientist,Married,47464,0,No,3/6/2012,No,10,4,8,10,Ruthy Pena
Male,46,Some Travel,Sales,Far,California,Black or African American,High School,Technical Degree,Sales Executive,Married,150731,2,No,3/6/2012,No,10,8,9,3,Gustavo Chatel
Female,43,Some Travel,Technology,Very Far,California,White,Some College,Computer Science,Engineering Manager,Divorced,436813,2,No,3/7/2012,No,10,8,9,7,Diannne Choules
Female,46,Frequent Traveller,Sales,Close,New York,White,Below High School,Economics,Sales Executive,Married,205159,1,No,3/7/2012,No,10,1,9,6,Mireielle Chstney
Female,30,Some Travel,Technology,Close,Illinois,White,Some College,Information Systems,Software Engineer,Married,70771,1,No,3/8/2012,No,10,9,9,2,Vitoria MacVaugh
Male,30,Some Travel,Technology,Close,California,Black or African American,High School,Computer Science,Machine Learning Engineer,Married,126238,0,No,3/8/2012,No,10,3,6,6,Wyatt Ziehm
Non-Binary,41,No Travel ,Technology,Far,California,White,Bachelor's,Computer Science,Analytics Manager,Married,283081,1,Yes,9/3/2018,Yes,4,1,3,2,Felicdad Seakin
Male,35,Some Travel,Sales,Far,New York,White,Master's,Marketing,Sales Executive,Divorced,182764,2,Yes,3/10/2012,No,10,7,9,9,Hy Trevance
Female,35,Some Travel,Human Resources,Close,California,Mixed or multiple ethnic groups,Some College,Marketing ,Recruiter,Divorced,47995,3,Yes,3/12/2012,No,10,5,6,3,Sheba McCromley
Male,28,Some Travel,Technology,Far,California,White,Below High School,Information Systems,Analytics Manager,Married,277344,0,Yes,7/2/2013,Yes,3,1,1,1,Parke Loxton
Non-Binary,46,Some Travel,Technology,Very Far,New York,Black or African American,High School,Computer Science,Machine Learning Engineer,Married,102964,2,No,3/17/2012,No,10,10,10,2,Ignacius Streeter
Female,43,Some Travel,Technology,Close,California,White,Master's,Information Systems,Analytics Manager,Married,482510,1,No,3/17/2012,No,10,9,9,1,Lebbie Poure
Female,36,No Travel ,Sales,Very Far,New York,Asian or Asian American,Bachelor's,Marketing,Sales Executive,Married,116057,1,No,3/19/2012,No,10,2,10,2,Camila Hernik
Female,45,Some Travel,Technology,Far,New York,White,Below High School,Computer Science,Software Engineer,Married,90264,0,Yes,3/19/2012,No,10,2,4,4,Muffin Ellcome
Male,42,Some Travel,Sales,Far,Illinois,Asian or Asian American,Bachelor's,Marketing ,Sales Executive,Married,106277,2,No,3/19/2012,No,10,0,5,5,Ring Genge
Male,39,Some Travel,Technology,Very Far,California,Mixed or multiple ethnic groups,Below High School,Computer Science,Machine Learning Engineer,Divorced,264285,1,No,3/23/2012,No,10,10,10,1,Munmro Ledamun
Female,34,Some Travel,Technology,Very Far,California,Black or African American,High School,Information Systems,Engineering Manager,Divorced,357371,1,No,3/24/2012,No,10,9,9,3,Crystal McLleese
Female,41,Some Travel,Technology,Close,California,Black or African American,Some College,Computer Science,Machine Learning Engineer,Single,197592,0,Yes,3/24/2012,No,10,5,10,0,Amity Kalisz
Female,30,Some Travel,Human Resources,Far,New York,Mixed or multiple ethnic groups,Some College,Human Resources,HR Executive,Married,97153,1,No,3/25/2012,No,10,5,6,9,Jayne Mickleburgh
Male,38,Some Travel,Technology,Very Far,New York,White,Some College,Computer Science,Data Scientist,Single,65416,0,No,3/25/2012,No,10,5,10,7,Eberto Flaherty
Male,35,No Travel ,Technology,Far,California,Asian or Asian American,High School,Computer Science,Senior Software Engineer,Divorced,117151,1,No,3/26/2012,No,10,3,7,6,Lucas Oran
Male,32,Some Travel,Sales,Very Far,California,Black or African American,Bachelor's,Marketing ,Sales Executive,Married,105748,2,No,3/28/2012,No,10,0,1,8,Nikolas Leslie
Male,46,Some Travel,Technology,Close,California,Black or African American,Bachelor's,Information Systems,Software Engineer,Married,56608,3,Yes,3/31/2012,No,10,3,5,9,Addison Elfe
Male,30,Some Travel,Technology,Close,California,Asian or Asian American,Bachelor's,Computer Science,Machine Learning Engineer,Married,194823,1,No,4/1/2012,No,10,4,9,8,Saxe Theodoris
Male,45,Some Travel,Sales,Far,California,White,Bachelor's,Marketing ,Sales Executive,Married,270302,0,No,5/13/2022,Yes,0,0,0,0,Isac Dreus
Male,42,Some Travel,Technology,Very Far,New York,White,Bachelor's,Business Studies,Machine Learning Engineer,Divorced,126463,1,No,4/4/2012,No,10,0,1,8,Jodie Le Breton De La Vieuville
Female,47,Some Travel,Technology,Close,New York,Mixed or multiple ethnic groups,Master's,Information Systems,Data Scientist,Single,133616,0,Yes,4/6/2012,No,10,9,9,0,Darice Excell
Female,36,Some Travel,Technology,Very Close,California,White,Some College,Information Systems,Senior Software Engineer,Single,208338,0,No,4/7/2012,No,10,10,10,1,Eleanora Thornbarrow
Female,41,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Bachelor's,Information Systems,Senior Software Engineer,Married,268964,1,No,7/1/2019,Yes,3,1,1,0,Laetitia Muccino
Female,43,Frequent Traveller,Sales,Very Close,New York,Mixed or multiple ethnic groups,Some College,Marketing,Sales Executive,Single,180996,0,No,4/10/2012,No,10,8,10,9,Elle Balcombe
Male,47,Some Travel,Technology,Very Far,New York,White,High School,Computer Science,Data Scientist,Single,108798,0,No,4/12/2012,No,10,0,4,7,Skipper Sambles
Male,47,No Travel ,Sales,Far,New York,White,Bachelor's,Other,Sales Executive,Married,176158,0,No,4/13/2012,No,10,9,10,2,Emmerich Wallicker
Male,36,Some Travel,Technology,Close,California,Black or African American,Bachelor's,Computer Science,Data Scientist,Divorced,73643,1,No,4/14/2012,No,10,0,7,9,Horst Mynett
Male,43,No Travel ,Technology,Far,California,Asian or Asian American,High School,Other,Machine Learning Engineer,Divorced,76826,1,No,4/14/2012,No,10,9,9,7,Benyamin Wasielewicz
Male,38,Some Travel,Technology,Very Far,California,White,Bachelor's,Computer Science,Senior Software Engineer,Divorced,126505,1,No,4/15/2012,No,10,1,5,8,Pierce Birkby
Female,45,Some Travel,Technology,Very Far,New York,White,High School,Information Systems,Machine Learning Engineer,Divorced,152278,1,Yes,4/18/2012,No,10,8,8,2,Joana McDougal
Male,28,Some Travel,Technology,Close,California,White,Below High School,Information Systems,Data Scientist,Single,87175,0,No,4/21/2012,No,10,6,10,7,Eldridge Artois
Non-Binary,35,Some Travel,Sales,Far,California,Black or African American,Bachelor's,Marketing,Sales Executive,Single,98435,0,No,4/23/2012,No,10,7,9,9,Bonni Coal
Male,42,Frequent Traveller,Technology,Far,New York,White,Some College,Computer Science,Senior Software Engineer,Married,264513,0,No,7/8/2020,Yes,1,0,0,1,Art Brisseau
Male,36,Some Travel,Sales,Close,New York,White,Some College,Technical Degree,Sales Executive,Single,243989,0,Yes,7/18/2020,Yes,1,0,1,1,Yankee Charteris
Male,29,Some Travel,Technology,Very Far,California,White,Some College,Computer Science,Software Engineer,Divorced,153909,1,No,4/23/2012,No,10,10,10,2,Rolf Cunah
Male,41,Some Travel,Sales,Far,California,American Indian or Alaska Native,Some College,Marketing ,Sales Executive,Single,231843,0,Yes,6/1/2017,Yes,1,1,1,0,Bradan Rozzier
Male,38,Frequent Traveller,Technology,Far,California,American Indian or Alaska Native,Bachelor's,Computer Science,Machine Learning Engineer,Single,231699,0,No,11/6/2018,Yes,1,0,0,0,Marius Champkin
Male,40,Some Travel,Sales,Very Far,California,White,Bachelor's,Marketing,Sales Executive,Single,226512,0,Yes,10/8/2020,Yes,2,1,1,1,Jesus Marde
Male,29,Some Travel,Sales,Far,Illinois,White,High School,Economics,Sales Executive,Single,225330,0,No,3/2/2022,Yes,0,0,0,0,Stevie Kinglesyd
Female,40,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Some College,Information Systems,Senior Software Engineer,Single,120858,0,No,4/29/2012,No,10,9,9,8,Zondra Duigenan
Male,32,Some Travel,Technology,Very Far,California,Black or African American,High School,Computer Science,Software Engineer,Single,78672,0,No,4/29/2012,No,10,6,9,5,Ruprecht Blatchford
Female,30,Some Travel,Technology,Very Far,New York,Asian or Asian American,Below High School,Computer Science,Machine Learning Engineer,Married,228438,1,No,4/30/2012,No,10,6,9,10,Jacki Mitro
Female,35,Frequent Traveller,Technology,Very Far,California,Mixed or multiple ethnic groups,Bachelor's,Computer Science,Software Engineer,Single,71257,0,No,5/1/2012,No,10,1,6,10,Jillayne Goshawke
Female,37,Frequent Traveller,Technology,Close,California,Mixed or multiple ethnic groups,Bachelor's,Computer Science,Machine Learning Engineer,Married,99936,1,No,5/1/2012,No,10,9,10,6,Glenda Peacock
Non-Binary,46,Some Travel,Sales,Far,California,White,Some College,Marketing ,Sales Executive,Married,223874,1,No,7/19/2021,Yes,1,0,0,0,Jo Medlar
Female,42,Some Travel,Sales,Very Far,California,White,Some College,Economics,Sales Executive,Married,206277,2,No,5/2/2012,No,10,6,10,1,Lin Dibbs
Female,45,Some Travel,Sales,Very Far,California,Black or African American,High School,Other,Sales Executive,Divorced,106610,1,Yes,5/3/2012,No,10,0,7,5,Annie Jablonski
Female,28,Some Travel,Sales,Close,California,Mixed or multiple ethnic groups,Some College,Marketing,Sales Executive,Married,194964,1,Yes,5/4/2012,No,10,2,2,8,Eleanor Hillen
Male,42,Some Travel,Technology,Close,New York,Mixed or multiple ethnic groups,Below High School,Computer Science,Data Scientist,Single,47461,0,No,5/5/2012,No,10,4,7,5,Tobit Lowry
Male,43,Some Travel,Sales,Very Far,California,White,High School,Marketing,Sales Executive,Divorced,176705,1,No,5/5/2012,No,10,5,7,7,Dolf Featenby
Male,34,Some Travel,Technology,Very Far,Illinois,White,Some College,Computer Science,Senior Software Engineer,Married,97542,3,No,5/6/2012,No,10,10,10,7,Nichols Baty
Female,24,Some Travel,Sales,Far,New York,White,Bachelor's,Marketing,Sales Executive,Single,208684,0,Yes,3/6/2018,Yes,2,0,0,0,Arabella Mont
Female,42,No Travel ,Sales,Close,California,White,High School,Marketing ,Sales Representative,Married,48922,1,No,5/7/2012,No,10,3,9,9,Eve Takkos
Female,28,Some Travel,Sales,Close,California,White,Some College,Marketing ,Sales Executive,Married,207479,3,No,7/19/2020,Yes,1,0,0,0,Korrie Plampin
Male,28,Frequent Traveller,Technology,Far,California,White,Master's,Computer Science,Machine Learning Engineer,Single,205433,0,No,4/2/2012,Yes,4,1,2,1,Bartolemo Balma
Male,45,Frequent Traveller,Sales,Very Close,New York,Black or African American,Some College,Marketing ,Sales Representative,Married,70487,1,No,5/9/2012,No,10,0,7,3,Husain Frizzell
Female,32,Some Travel,Technology,Very Far,California,Asian or Asian American,Below High School,Computer Science,Software Engineer,Single,68256,0,No,5/10/2012,No,10,7,9,6,Karina Weddup
Female,43,Some Travel,Technology,Close,California,White,Some College,Computer Science,Software Engineer,Divorced,43211,1,No,5/12/2012,No,10,2,6,9,Veronica Farlham
Female,28,Some Travel,Sales,Very Close,California,White,Bachelor's,Marketing ,Sales Executive,Married,87039,1,No,5/13/2012,No,10,3,5,4,Paule Mapplebeck
Male,44,Some Travel,Technology,Far,California,Native Hawaiian ,Some College,Information Systems,Data Scientist,Single,108623,0,No,5/13/2012,No,10,3,3,8,Gabriello Clemente
Female,36,Some Travel,Technology,Very Far,New York,White,Some College,Computer Science,Machine Learning Engineer,Single,218940,0,Yes,5/14/2012,No,10,6,8,5,Filide Dinnies
Non-Binary,37,Some Travel,Technology,Far,California,Black or African American,Some College,Information Systems,Analytics Manager,Single,368494,0,Yes,5/14/2012,No,10,8,9,6,Sherwood Furlow
Female,35,Some Travel,Technology,Very Far,New York,Mixed or multiple ethnic groups,High School,Business Studies,Data Scientist,Married,119917,1,Yes,5/15/2012,No,10,5,7,4,Fan Pizey
Male,48,Some Travel,Sales,Very Far,New York,Mixed or multiple ethnic groups,High School,Marketing ,Sales Executive,Divorced,191771,1,No,5/17/2012,No,10,0,10,4,Vernen Rennie
Male,48,Some Travel,Technology,Far,Illinois,White,Bachelor's,Information Systems,Data Scientist,Divorced,35749,2,No,5/17/2012,No,10,7,7,8,Ginger Blinde
Female,34,Some Travel,Sales,Far,New York,White,High School,Economics,Sales Executive,Divorced,100710,1,Yes,5/20/2012,No,10,10,10,2,Lonni Lelievre
Female,34,Some Travel,Technology,Very Far,New York,Black or African American,Some College,Computer Science,Software Engineer,Married,50386,1,No,5/20/2012,No,10,8,9,10,Gerri Fullerlove
Female,39,Frequent Traveller,Human Resources,Far,California,White,Some College,Human Resources,HR Executive,Single,201564,3,Yes,10/12/2022,Yes,0,0,0,0,Ava Galland
Male,47,Some Travel,Sales,Very Far,California,Asian or Asian American,Some College,Marketing ,Sales Executive,Married,249553,1,No,5/20/2012,No,10,3,4,9,Murry Dominici
Female,32,Frequent Traveller,Technology,Close,Illinois,American Indian or Alaska Native,Some College,Business Studies,Software Engineer,Married,86639,0,No,5/21/2012,No,10,3,9,5,Francine Fernez
Non-Binary,42,Some Travel,Technology,Close,California,White,Bachelor's,Business Studies,Senior Software Engineer,Married,167089,1,No,5/24/2012,No,10,7,9,8,Cassandre Joubert
Male,31,Some Travel,Sales,Far,California,White,Some College,Marketing,Sales Executive,Married,187930,3,No,4/7/2012,Yes,3,2,2,0,Murdock Spaduzza
Female,36,No Travel ,Technology,Far,California,Asian or Asian American,Bachelor's,Other,Data Scientist,Divorced,77136,2,No,5/28/2012,No,10,10,10,10,Karlen Gulston
Female,48,No Travel ,Technology,Very Far,California,White,High School,Information Systems,Machine Learning Engineer,Divorced,92884,1,No,5/30/2012,No,10,5,9,2,Danielle Viste
Male,42,Some Travel,Sales,Far,California,White,Bachelor's,Marketing,Sales Executive,Single,91179,0,No,5/30/2012,No,10,7,9,0,Whitman Schruyers
Female,33,Some Travel,Technology,Very Far,California,Asian or Asian American,Some College,Computer Science,Machine Learning Engineer,Single,88726,0,No,1/1/2013,No,9,8,8,6,Celie Jedrys
Female,47,Frequent Traveller,Sales,Far,California,American Indian or Alaska Native,Some College,Technical Degree,Sales Representative,Married,46684,1,No,1/12/2013,No,9,4,9,3,Doralynne Giacoboni
Male,29,Some Travel,Sales,Very Far,California,Asian or Asian American,Bachelor's,Marketing,Sales Executive,Married,102061,1,No,1/17/2013,No,9,5,9,5,Adan Fradgley
Female,42,Some Travel,Technology,Close,California,Asian or Asian American,High School,Information Systems,Data Scientist,Married,73577,1,No,1/23/2013,No,9,9,9,6,Doralin Whiley
Male,39,Some Travel,Technology,Very Close,California,Black or African American,Some College,Computer Science,Machine Learning Engineer,Single,81115,0,No,1/24/2013,No,9,2,4,0,Purcell Keig
Female,46,Frequent Traveller,Technology,Far,New York,White,High School,Computer Science,Software Engineer,Single,100717,0,Yes,1/30/2013,No,9,5,9,7,Mimi Mawditt
Non-Binary,28,Some Travel,Sales,Very Far,Illinois,Mixed or multiple ethnic groups,Some College,Marketing,Sales Executive,Divorced,185380,1,No,9/21/2015,Yes,5,2,5,3,Sloane Shera
Female,36,Some Travel,Technology,Very Far,New York,White,High School,Computer Science,Software Engineer,Married,60585,2,No,2/5/2013,No,9,0,7,9,Jeri MacDiarmid
Female,46,Frequent Traveller,Technology,Far,New York,White,Some College,Computer Science,Engineering Manager,Married,514945,0,Yes,2/5/2013,No,9,4,7,7,Albina Baston
Female,31,Frequent Traveller,Sales,Far,New York,Asian or Asian American,Some College,Marketing,Sales Executive,Single,253719,0,No,2/12/2013,No,9,2,4,3,Greta Turneux
Male,28,Some Travel,Human Resources,Far,California,Native Hawaiian ,High School,Economics,HR Executive,Married,179561,1,No,5/9/2012,Yes,1,0,0,1,Reinaldos Baynes
Female,38,Frequent Traveller,Technology,Close,California,Black or African American,Some College,Information Systems,Senior Software Engineer,Single,126515,0,No,2/27/2013,No,9,7,9,4,Corinne Andreaccio
